"","EVTYPE","total_fatalities"
"1","TORNADO",5633
"2","EXCESSIVE HEAT",1903
"3","FLASH FLOOD",978
"4","HEAT",937
"5","LIGHTNING",816
"6","TSTM WIND",504
"7","FLOOD",470
"8","RIP CURRENT",368
"9","HIGH WIND",248
"10","AVALANCHE",224
"11","WINTER STORM",206
"12","RIP CURRENTS",204
"13","HEAT WAVE",172
"14","EXTREME COLD",160
"15","THUNDERSTORM WIND",133
"16","HEAVY SNOW",127
"17","EXTREME COLD/WIND CHILL",125
"18","STRONG WIND",103
"19","BLIZZARD",101
"20","HIGH SURF",101
"21","HEAVY RAIN",98
"22","EXTREME HEAT",96
"23","COLD/WIND CHILL",95
"24","ICE STORM",89
"25","WILDFIRE",75
"26","THUNDERSTORM WINDS",64
"27","HURRICANE/TYPHOON",64
"28","FOG",62
"29","HURRICANE",61
"30","TROPICAL STORM",58
"31","HEAVY SURF/HIGH SURF",42
"32","LANDSLIDE",38
"33","HIGH WINDS",35
"34","COLD",35
"35","WINTER WEATHER",33
"36","TSUNAMI",33
"37","UNSEASONABLY WARM AND DRY",29
"38","URBAN/SML STREAM FLD",28
"39","WINTER WEATHER/MIX",28
"40","TORNADOES, TSTM WIND, HAIL",25
"41","WIND",23
"42","DUST STORM",22
"43","FLASH FLOODING",19
"44","DENSE FOG",18
"45","FLOOD/FLASH FLOOD",17
"46","RECORD/EXCESSIVE HEAT",17
"47","EXTREME WINDCHILL",17
"48","HAIL",15
"49","FLASH FLOOD/FLOOD",14
"50","COLD AND SNOW",14
"51","MARINE STRONG WIND",14
"52","STORM SURGE",13
"53","WILD/FOREST FIRE",12
"54","UNSEASONABLY WARM",11
"55","STORM SURGE/TIDE",11
"56","WINTER STORMS",10
"57","MARINE THUNDERSTORM WIND",10
"58","MARINE TSTM WIND",9
"59","TROPICAL STORM GORDON",8
"60","ROUGH SEAS",8
"61","FREEZING RAIN",7
"62","MARINE MISHAP",7
"63","STRONG WINDS",7
"64","HEAVY SURF",7
"65","GLAZE",7
"66","LOW TEMPERATURE",7
"67","HURRICANE ERIN",6
