"","EVTYPE","total_injuries"
"1","TORNADO",91346
"2","TSTM WIND",6957
"3","FLOOD",6789
"4","EXCESSIVE HEAT",6525
"5","LIGHTNING",5230
"6","HEAT",2100
"7","ICE STORM",1975
"8","FLASH FLOOD",1777
"9","THUNDERSTORM WIND",1488
"10","HAIL",1361
"11","WINTER STORM",1321
"12","HURRICANE/TYPHOON",1275
"13","HIGH WIND",1137
"14","HEAVY SNOW",1021
"15","WILDFIRE",911
"16","THUNDERSTORM WINDS",908
"17","BLIZZARD",805
"18","FOG",734
"19","WILD/FOREST FIRE",545
"20","DUST STORM",440
"21","WINTER WEATHER",398
"22","DENSE FOG",342
"23","TROPICAL STORM",340
"24","HEAT WAVE",309
"25","HIGH WINDS",302
"26","RIP CURRENTS",297
"27","STRONG WIND",280
"28","HEAVY RAIN",251
"29","RIP CURRENT",232
"30","EXTREME COLD",231
"31","GLAZE",216
"32","AVALANCHE",170
"33","EXTREME HEAT",155
"34","HIGH SURF",152
"35","WILD FIRES",150
"36","ICE",137
"37","TSUNAMI",129
"38","TSTM WIND/HAIL",95
"39","WIND",86
"40","URBAN/SML STREAM FLD",79
"41","WINTRY MIX",77
"42","WINTER WEATHER/MIX",72
"43","Heat Wave",70
"44","WINTER WEATHER MIX",68
"45","LANDSLIDE",52
"46","RECORD HEAT",50
"47","COLD",48
"48","HEAVY SURF/HIGH SURF",48
"49","HURRICANE",46
"50","TROPICAL STORM GORDON",43
"51","DUST DEVIL",42
"52","WATERSPOUT/TORNADO",42
"53","HEAVY SURF",40
"54","STORM SURGE",38
"55","SNOW/HIGH WINDS",36
"56","SNOW SQUALL",35
"57","ICY ROADS",31
"58","SNOW",29
"59","WATERSPOUT",29
"60","DRY MICROBURST",28
"61","THUNDERSTORMW",27
"62","MIXED PRECIP",26
"63","MARINE THUNDERSTORM WIND",26
"64","BLACK ICE",24
"65","EXTREME COLD/WIND CHILL",24
"66","FREEZING RAIN",23
"67","MARINE STRONG WIND",22
"68","STRONG WINDS",21
"69","EXCESSIVE RAINFALL",21
"70","HIGH WIND AND SEAS",20
"71","WINTER STORMS",17
"72","UNSEASONABLY WARM",17
"73","TORNADO F2",16
"74","WINTER STORM HIGH WINDS",15
"75","FLOOD/FLASH FLOOD",15
"76","FREEZING DRIZZLE",15
"77","GLAZE/ICE STORM",15
"78","HEAT WAVE DROUGHT",15
"79","BLOWING SNOW",13
"80","THUNDERSTORM",12
"81","COLD/WIND CHILL",12
"82","SMALL HAIL",10
"83","THUNDERSTORM  WINDS",10
"84","HEAVY SNOW/ICE",10
"85","FLASH FLOODING",8
"86","HIGH SEAS",8
"87","GUSTY WINDS",8
"88","MARINE TSTM WIND",8
"89","NON-SEVERE WIND DAMAGE",7
"90","HIGH WINDS/SNOW",6
"91","MARINE MISHAP",5
"92","EXTREME WINDCHILL",5
"93","TYPHOON",5
"94","COASTAL FLOODING/EROSION",5
"95","ROUGH SEAS",5
"96","STORM SURGE/TIDE",5
"97","HEAVY RAINS",4
"98","THUNDERSTORM WINDSS",4
"99","DROUGHT",4
"100","OTHER",4
"101","HIGH WINDS/COLD",4
"102","High Surf",4
"103","Torrential Rainfall",4
"104","FUNNEL CLOUD",3
"105","FROST",3
"106","TSTM WIND (G45)",3
"107","ICE STORM/FLASH FLOOD",2
"108","FLOODING",2
"109","RIVER FLOOD",2
"110","COASTAL FLOOD",2
"111","RAIN/SNOW",2
"112","HURRICANE-GENERATED SWELLS",2
"113","TORNADO F3",2
